ID,sec,faculty,score
63130041563,1,engineering,6
63120041472,5,agriculture,12
63130045051,2,engineering,11
63130042283,4,engineering,12
63130043338,2,engineering,12
63130042328,1,engineering,5
63130043561,3,engineering,8
63130041987,2,engineering,9
63130044603,1,engineering,12
63130042278,4,engineering,12
63130041725,3,engineering,12
63130044342,1,engineering,10
63130044081,3,engineering,9
63130041301,3,engineering,11
63120040570,5,agriculture,5
63130045080,1,engineering,11
63120540012,5,agriculture,11
63120041007,5,agriculture,10
63120041021,5,agriculture,9
63120540113,5,agriculture,11
63210040626,5,agriculture,6
63130043156,3,engineering,11
63130043589,1,engineering,9
63130043635,3,engineering,7
63130043925,3,engineering,9
63130042715,2,engineering,11
63130043079,3,engineering,10
63120040592,5,agriculture,9
63120040198,5,agriculture,8
63120040471,5,agriculture,12
63120540067,5,agriculture,7
63130045020,1,engineering,11
63130042591,3,engineering,11
63130042810,3,engineering,10
63130042061,4,engineering,11
63120040789,5,agriculture,7
63130042447,2,engineering,6
63130043606,1,engineering,10
63120540168,5,agriculture,7
63120041256,5,agriculture,11
63120040279,5,agriculture,10
63130043167,2,engineering,10
63120540131,5,agriculture,9
63130042074,3,engineering,11
63130042511,2,engineering,11
63130041927,2,engineering,9
63130043804,3,engineering,11
63130045198,3,engineering,11
63120041036,5,agriculture,10
63130041482,4,engineering,9
63130041453,4,engineering,11
63130044306,2,engineering,7
63130042740,3,engineering,12
63130041747,3,engineering,10
63130044052,3,engineering,12
63130041730,4,engineering,11
63130041664,1,engineering,9
63130041756,3,engineering,10
63130042656,1,engineering,12
63130043859,3,engineering,10
63130043754,3,engineering,12
63120041108,5,agriculture,10
63130044548,3,engineering,10
63120540070,5,agriculture,9
63120041230,5,agriculture,11
63120041414,5,agriculture,10
63120040976,5,agriculture,10
63130043840,1,engineering,8
63130045224,1,engineering,3
63120041076,5,agriculture,11
63130041682,4,engineering,11
63120041568,5,agriculture,10
63130045062,4,engineering,6
63130043451,3,engineering,10
63130043055,1,engineering,12
63130041242,4,engineering,10
63130044472,1,engineering,11
63130043642,2,engineering,7
63120040547,5,agriculture,11
63130042029,4,engineering,12
6130041835,2,engineering,11
63120041548,5,agriculture,5
