ID,faculty,sec,score
63130041367,engineering,4,8
63130040816,engineering,1,9
63120040631,agriculture,5,10
63130044649,engineering,1,3
63130041521,engineering,2,11
63130041206,engineering,3,10
63120040921,agriculture,5,11
63130043635,engineering,3,7
63130042447,engineering,2,7
63130045080,engineering,1,10
63130044982,engineering,2,4
63130042304,engineering,2,10
63120040866,agriculture,5,5
63130044043,engineering,3,10
63130043240,engineering,3,8
63130043406,engineering,3,8
63130043697,engineering,2,6
63130043529,engineering,1,6
63130043091,engineering,3,6
63130041251,engineering,3,8
63130042061,engineering,4,9
63130041262,engineering,3,11
63130040421,engineering,1,8
63120041021,agriculture,5,11
63130045266,engineering,4,9
63130045051,engineering,2,5
63130044720,engineering,1,9
63130043804,engineering,3,5
63130045062,engineering,4,9
63130041820,engineering,4,8
63120040396,agriculture,5,11
63130041806,engineering,3,6
63130042290,engineering,2,4
63120041362,agriculture,5,10
63130041949,engineering,4,9
63130641226,engineering,1,10
63130042951,engineering,1,9
63130042823,engineering,1,9
63130043709,engineering,1,11
63130041422,engineering,4,11
63130044694,engineering,1,9
63130043925,engineering,3,6
63120040668,agriculture,5,7
63130041767,engineering,3,9
63130042511,engineering,2,9
63130044797,engineering,1,5
63130043011,engineering,1,11
63130041453,engineering,4,9
63130042425,engineering,2,9
63120041177,agriculture,5,11
63130043505,engineering,2,8
63130043480,engineering,1,9
63130043620,engineering,1,8
63130042692,engineering,1,7
63130041608,engineering,3,8
63130042809,engineering,2,10
63130044018,engineering,2,11
63130042029,engineering,4,11
63130042865,engineering,1,11
63120041568,agriculture,5,11
63130041835,engineering,2,9
63130041444,engineering,3,7
63120040547,agriculture,5,10
63130040784,engineering,4,7
63130041770,engineering,4,10
63130042328,engineering,1,4
63130042120,engineering,3,6
63130041897,engineering,3,9
63130041969,engineering,4,11
63130043365,engineering,3,7
63120540102,agriculture,5,10
63130041187,engineering,3,9
63130043215,engineering,3,8
63130041664,engineering,1,10
63120040602,agriculture,5,10
63130042485,engineering,2,8
63120540070,agriculture,5,11
63130043873,engineering,2,10
63130044658,engineering,1,10
63130041217,engineering,4,6
63130041169,engineering,4,9
63130043055,engineering,1,10
63130042315,engineering,4,9
63130041477,engineering,4,9
63130043167,engineering,2,10
63130044494,engineering,2,11
63130042906,engineering,1,11
63130044063,engineering,2,11
63130044007,engineering,1,9
63130042838,engineering,2,10
63130044256,engineering,2,10
63130043147,engineering,3,9
63120540056,agriculture,5,8
63130043310,engineering,3,9
63130043561,engineering,3,9
63130041701,engineering,4,7
63130043084,engineering,3,10
63130043170,engineering,3,10
63120540134,agriculture,5,9
63130041536,engineering,4,4
63130044531,engineering,1,5
63130044892,engineering,3,8
63130042962,engineering,2,9
63120040361,agriculture,5,8
63130044225,engineering,2,11
63130042106,engineering,2,8
63130044397,engineering,2,9
63130042670,engineering,3,9
63130044144,engineering,3,10
63130043462,engineering,2,6
63130641183,engineering,1,8
63130043156,engineering,3,11
63130045020,engineering,1,7
63130641248,engineering,1,11
63120040891,agriculture,5,10
63130043606,engineering,1,7
63130041972,engineering,3,11
63130042740,engineering,3,10
63130043754,engineering,3,11
63130042197,engineering,1,8
63130042089,engineering,1,7
63120540030,agriculture,5,6
63130041682,engineering,4,10
63130044098,engineering,1,7
63130041747,engineering,3,8
63130041756,engineering,3,8
63120040152,agriculture,5,9
63130043859,engineering,3,8
63130043783,engineering,1,10
63130041987,engineering,2,10
63130044432,engineering,2,9
63130041563,engineering,1,6
63120040266,agriculture,5,9
63130042795,engineering,4,8
63120040734,agriculture,5,10
63130044403,engineering,2,6
63130043435,engineering,2,7
63130043451,engineering,3,7
63130043642,engineering,2,6
63130043233,engineering,2,8
63130045224,engineering,1,8
63130041280,engineering,3,10
63130042625,engineering,4,8
63130042555,engineering,4,7
63130042878,engineering,3,7
63130043192,engineering,3,7
63130042612,engineering,3,7
63130042210,engineering,4,10
63130042041,engineering,4,8
63130040621,engineering,1,8
63130042340,engineering,1,8
63130044342,engineering,1,9
63130045136,engineering,1,10
63130043967,engineering,2,10
63120040448,agriculture,5,9
63130041842,engineering,3,8
63130041370,engineering,4,8
63130042209,engineering,3,8
63130042135,engineering,3,8
63130043338,engineering,1,10
63120540168,agriculture,5,10
63130043662,engineering,2,9
63130045017,engineering,1,8
63130044603,engineering,1,10
63130042942,engineering,2,8
63130043228,engineering,1,3
63130041598,engineering,4,8
63130042773,engineering,3,6
