i,X,Y
1590,4,4
1591,3.75,3.5
1592,3.65,3
1593,3.77,2.5
1594,3,2.5
1595,3.68,2.5
1596,2.61,2.5
1597,2.5,2
1598,2.44,2
1599,3.16,2
1600,3.52,3.5
1601,1.83,2.5
1602,2.5,3
1603,3.35,2
1604,3.25,1.5
1605,2,2
1606,2.61,2.5
1607,1.83,2
1608,3.63,1
1609,2.66,2
1610,1.55,0
1611,2.61,1.5
1612,2.32,0
1613,1.16,1
1614,1.68,1
1615,1.16,1
1616,1.66,1.5
1617,1.16,0
1618,1.55,0
1619,1.68,0
1620,1.65,1.5
1621,1.91,2.5
1622,2.43,2
1623,2.33,1
1624,1.16,2
1625,2.07,0
1626,2.09,0
1627,3.18,4
1628,3.96,4
1629,3.92,4
1630,2.86,4
1631,3.61,3.5
1632,3.2,2
1633,3.38,3.5
1634,3.3,4
1635,3.8,2.5
1636,3.83,3
1637,3.26,2.5
1638,3.18,2
1639,2.9,2
1640,3.22,2.5
1641,3.38,1
1642,3.71,2
1643,3.38,2
1644,2.25,2
1645,2.57,1.5
1646,3,2
1647,2.93,1.5
1648,2.52,2
1649,3.34,1.5
1650,3.56,2.5
1651,2.7,2
1652,2.57,1
1653,3.5,2
1654,3.54,2.5
1655,3.53,2
1656,4,2
1657,2.08,1.5
1658,3.37,2.5
1659,3.06,2.5
1660,3.11,2
1661,3.06,2
1662,3.37,1.5
1663,2.26,1.5
1664,3.11,1.5
1665,2.34,1
1666,3.02,1
1667,2.06,1.5
1668,3.28,1.5
1669,3.26,2.5
1670,2.7,0
1671,2.42,0
1672,3.46,2
1673,2.98,1
1674,2.22,1.5
1675,2.5,2
1676,3.37,1
1677,3.03,1
1678,2.52,1.5
1679,3.52,1.5
1680,2.14,1
1681,3.5,0
1682,2.16,1
1683,2.05,1
1684,1.68,0
1685,2.42,2
1686,1.68,1.5
1687,1.68,0
1688,1.65,0
1689,2.34,0
1690,3.95,0
1691,3.06,0
1692,1.76,0
1693,1.76,0
1694,1.76,0
1695,3.37,3.5
1696,2.8,1.5
1697,2.84,1
1698,2.92,2.5
1699,3.72,2.5
1700,3.4,2
1701,3.42,2
1702,2.8,0
1703,2.8,2
1704,2.68,0
1705,2.8,0
1706,3.88,4
1707,3.75,4
1708,3.51,3.5
1709,3.31,2.5
1710,3.19,2
1711,3.53,2.5
1712,2.68,2.5
1713,2.73,2
1714,4,4
1715,3.22,2.5
1716,3.17,2.5
1717,3.47,2
1718,3.8,2.5
1719,3.43,1.5
1720,2.75,2
1721,2.72,2
1722,1.22,2.5
1723,3.37,2.5
1724,2.08,1.5
1725,3.17,3.5
1726,1.62,2
1727,2.89,2.5
1728,2.78,2.5
1729,2,2.5
1730,2.1,1.5
1731,1.67,2
1732,2.37,2
1733,0.96,2
1734,3.06,2
1735,2.76,2
1736,2.66,2
1737,3.34,1.5
1738,3.04,2
1739,2.79,2
1740,3.28,2
1741,2.61,1.5
1742,2.42,2
1743,1.8,1.5
1744,2.76,2
1745,3.37,2.5
1746,2.4,2
1747,1.73,0
1748,1.96,2
1749,2.09,2
1750,2.44,1.5
1751,3,0
1752,2.86,2
1753,2.32,0
1754,2,1
1755,2.38,1.5
1756,2.24,2.5
1757,3.07,2
1758,1.9,2
1759,1.9,1.5
1760,1.8,1
1761,2.16,2
1762,3,1.5
1763,2.04,1.5
1764,2.5,1
1765,2.17,1
1766,1.8,0
1767,1.96,0
1768,1.61,1
1769,2.62,1
1770,2.58,0
1771,2.12,1.5
1772,2.06,2
1773,2.54,0
1774,2.16,0
1775,2,0
1776,2.51,0
1777,2.18,1.5
1778,3,1
1779,2,1
1780,1.96,0
1781,2.3,2
1782,2.6,1.5
1783,1.61,1.5
1784,2.51,0
1785,2.12,1
1786,2.71,0
1787,2.67,1.5
1788,2.17,0
1789,1.73,0
1790,2.38,0
1791,0.96,0
1792,3.18,1.5
1793,2.37,0
1794,2.04,0
1795,1.55,1
1796,2.76,2
1797,3.01,0
1798,1.55,0
1799,1.5,0
1800,2.14,0
1801,1.91,0
1802,1.44,0
1803,1.44,0
1804,2.37,0
1805,1.93,0
1806,1.53,0
1807,1.6,0
1808,1.68,0
1809,2.51,0
1810,1.6,0
1811,2.75,0
1812,1.9,1
1813,2.14,0
1814,3.01,0
1815,2.62,0
1816,3.25,0
1817,2.18,0
1818,1.91,0
1819,1.68,0
1820,3.15,2
1821,4,2.5
1822,3.68,0
1823,3.39,1.5
1824,3.08,1
1825,3.68,0
1826,3.41,0
1827,3.4,2
1828,3,0
1829,3,0
1830,3,2
1831,4,2.5
1832,3.5,2.5
1833,3,2
1834,2,2.5
1835,4,2.5
1836,3.5,1.5
1837,2.75,1.5
1838,2.5,1.5
1839,2.75,1
1840,4,2.5
1841,3,1
1842,3.25,1
1843,3.5,2
1844,3,2
1845,3,2
1846,4,1.5
1847,3,2
1848,2.25,1.5
1849,1.5,2
1850,2.25,2
1851,4,0
1852,2,0
1853,2,2
1854,2,0
1855,2.5,1
1856,2.25,0
1857,2.66,0
1858,2,2
1859,1,2
1860,2.75,0
1861,2.25,0
1862,1,2
1863,1.5,0
1864,1.5,0
1865,2.5,0
1866,3.5,0
1867,2,0
1868,4,0
1869,2.5,1
1870,4,1.5
1871,3.5,1
1872,4,1
1873,2.5,0
1874,1.3,0
1875,2,0
1876,4,0
1877,1,0
1878,3.5,1
1879,2.5,0
1880,4,0
1881,3.5,1
1882,2.66,0
1883,2.25,0
1884,2.25,0
1885,2.5,0
1886,2.5,1
1887,2,1
1888,2.75,0
1889,1.5,0
1890,2,1.5
1891,2.66,0
1892,2.5,0
1893,2,0
1894,3,0
1895,4,1.5
1896,3.75,0
1897,3.5,0
1898,1,0
1899,3,0
1900,2.5,0
1901,1.5,1
1902,2.5,0
1903,4,0
1904,3.5,0
1905,2.5,0
1906,2.66,1
1907,3.5,0
1908,3.75,0
1909,1,0
1910,3,0
1911,4,0
1912,3.5,0
1913,2.06,0
1914,1.33,0
1915,1.33,0
1916,2.06,2
1917,1.48,0
1918,2.57,1
1919,1.48,0
1920,3.54,4
1921,4,3
1922,3.75,2
1923,3.7,2
1924,3.54,2
1925,3.33,1.5
1926,2.97,2
1927,3.76,2.5
1928,3.31,3
1929,3.25,1.5
1930,2.56,1
1931,3.36,2
1932,3.1,1.5
1933,2.83,2
1934,3,1
1935,2.3,1
1936,3.18,2
1937,2.42,0
1938,2.74,0
1939,2.74,0
1940,2.74,2
1941,2.56,2
1942,2.42,1
1943,2.56,0
1944,2.96,0
1945,2.56,0
1946,2.1,0
1947,1.82,0
1948,2.1,0
1949,1.82,0
1950,3.18,2.5
1951,3.33,2.5
1952,3.48,2.5
1953,3.07,2.5
1954,2.16,1
1955,3.33,1
1956,2.16,0
1957,1.5,1
1958,1.72,1
1959,1.62,0
1960,1.62,0
1961,3.68,2.5
1962,4,4
1963,4,2.5
1964,4,2.5
1965,4,2.5
1966,3.63,2.5
1967,3.15,1
1968,3.56,2
1969,3.7,2
1970,3.36,1.5
1971,3.33,2
1972,3.17,1
1973,3.83,1
1974,1.86,0
1975,1.96,1.5
1976,1.86,0
1977,3.9,3
1978,3.17,1.5
1979,2.6,1.5
1980,3.17,0
1981,3.7,1
1982,2.26,0
1983,2.26,0
1984,4,3.5
1985,3.6,2.5
1986,3.76,2.5
1987,3.32,1.5
1988,3.57,1.5
1989,3.5,2.5
1990,2.79,0
1991,2.86,0
1992,3.9,4
1993,4,2.5
1994,3.87,2.5
1995,3.01,1.5
1996,4,4
1997,2.94,3
1998,3.61,3.5
1999,2.62,2.5
2000,3.56,0
2001,3.56,1.5
2002,3.31,1
2003,3.76,4
2004,1.72,1.5
2005,2.6,2.5
2006,2.63,2
2007,3.34,1.5
2008,2.83,2
2009,3.88,2
2010,2.9,1
2011,2.48,1
2012,2.1,1
2013,1.96,2
2014,2.9,1.5
2015,2.26,1
2016,2.1,0
2017,2.9,0
2018,2.28,1.5
2019,2.26,0
2020,1.96,0
2021,3.3,1
2022,2.37,0
2023,1.66,1
2024,2.15,2
2025,3.13,2
2026,3.7,2
2027,3.13,0
2028,3.04,2
2029,3.27,2
2030,3.04,1
2031,1.81,2
2032,1.77,0
2033,2.16,0
2034,1.81,0
2035,2.7,0
2036,2.16,0
2037,2.66,0
2038,2.31,0
2039,3.5,0
2040,1.81,0
2041,1.81,0
2042,3.95,2.5
2043,4,2.5
2044,3.68,2
2045,2.54,1
2046,3.58,1
2047,3.06,1
2048,3.44,0
2049,3.44,0
2050,2.98,0
2051,3.44,0
