ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
326,3.18,2.23
327,3.46,1.86
328,2.53,1.81
329,2.5,1.77
330,2.75,1.56
331,2.6,1.48
332,2.41,1.42
333,2.5,1.23
334,2,1.22
335,2.75,0.89
336,2.41,0.84
337,2.6,0.81
338,3.12,0.7
339,3.94,3.5
340,3.79,3.38
341,3.37,3.1
342,3.85,3
343,3.35,3
344,3.05,2.95
345,3.77,2.68
346,3.5,2.68
347,2.61,2.38
348,3.02,2.14
349,3.02,1.98
350,3.11,1.95
351,3.09,1.64
352,2.5,1.43
353,3.2,3.25
354,2.31,2.95
355,3.66,2.78
356,2.02,2.71
357,2.5,2.7
358,2.25,2.24
359,1.6,2.08
360,1.83,1.86
361,1.67,1.83
362,3.86,2.89
363,4,3.56
364,3.72,3
365,2.96,2.83
366,3.28,2.24
367,2.48,2.03
368,4,3.05
369,3.5,3.08
370,1.87,2.35
371,2.93,3.45
372,2.95,2.89
373,3.83,2.31
374,2.92,2.77
375,2.52,2.59
376,2.83,2.48
377,4,3.7
378,3.27,3.5
379,3.42,3.14
380,4,3.03
381,3,3
382,2.82,2.95
383,3.65,2.9
384,3.02,2.74
385,3.81,2.64
386,2.85,2.64
387,2.43,2.6
388,2.5,2.56
389,2.81,2.54
390,3.81,2.53
391,3.15,2.5
392,2.63,2.5
393,2.12,2.5
394,2.82,2.48
395,3.13,2.45
396,2.5,2.42
397,3.25,2.4
398,2.5,2.23
399,2.4,2.23
400,3.2,2.12
401,2.47,2.12
402,3.26,2.11
403,2.4,2
404,1.95,2
405,2.7,1.97
406,2.5,1.95
407,3.5,1.92
408,2.4,1.73
409,2.5,1.56
410,3.26,1.42
411,2.12,1.36
412,2.12,1.34
413,1.95,1.34
414,2.5,1.25
415,1.8,1.25
416,2.86,1.09
417,1.95,0.93
418,3.45,0.8
419,1.8,0.65
420,2.25,0.47
421,2.25,0.25
422,2.9,2.73
423,3.95,2.64
424,3.12,2
425,3.12,1.65
426,4,4
427,3.84,3.39
428,3.44,3.38
429,3.24,3.34
430,3.8,3.15
431,3.58,3.08
432,3.24,3
433,3.23,3
434,3.46,2.95
435,3.55,2.86
436,3.65,2.83
437,3.44,2.8
438,4,2.74
439,3.5,2.67
440,2.66,2.58
441,3.42,2.5
442,2.56,2.48
443,2.86,2.45
444,2.56,2.4
445,2.54,2.29
446,2.42,2.14
447,3.5,2.12
448,2.54,1.84
449,2.12,1.65
450,2.83,1.5
451,3.28,1.29
452,1.8,1.14
453,4,3.92
454,3.85,3.72
455,3.26,3.59
456,3.95,3.36
457,3.46,3.34
458,2.89,2.75
459,3,2.73
460,2.3,2.59
461,3.41,2.58
462,2.75,2.58
463,3.75,2.5
464,3.42,2.5
465,2.87,2.5
466,3.76,2.48
467,3.46,2.43
468,2.75,2.39
469,3.19,2.37
470,2.81,2.29
471,2.51,2.24
472,2.47,2.23
473,2.87,2.22
474,2.47,2.15
475,1.5,2.12
476,2.3,2.1
477,2.81,2
478,2.7,2
479,2.62,2
480,2,2
481,3.46,1.95
482,1.75,1.95
483,1.5,1.95
484,2.21,1.79
485,3.41,1.78
486,2.42,1.65
487,1.78,1.65
488,2.57,1.64
489,2.42,1.56
490,2.57,1.5
491,2.62,1.42
492,2.28,1.3
493,1.75,1.21
494,2.03,1.15
495,2.7,1.07
496,1.98,1
497,2.32,0.98
498,2.39,0.43
499,2.03,0.36
500,2.39,0.34
501,3.16,2.67
502,4,2.42
503,3.91,2.38
504,3.69,2.27
505,3.91,1.71
506,3.67,3.65
507,3.79,3.5
508,3,3.23
509,2.12,2.9
510,3.89,2.89
511,3.24,2.83
512,2.08,2.65
513,3.46,2.58
514,3.29,2.53
515,3.25,2.43
516,3.14,2.42
517,2.84,2.42
518,3.18,2.36
519,3,2.24
520,2.57,2.13
521,2.08,2.08
522,2.53,2.05
523,3.46,1.92
524,2.12,1.74
525,2.16,1.64
526,2.21,1.6
527,2.53,1.39
528,2.98,1.28
529,2,1.15
530,2.12,1.06
531,2.12,0.85
532,2.76,0.65
533,2.5,1.53
534,3.68,3.4
535,3.15,3.37
536,3.78,3.28
537,3.51,3
538,2.75,2.95
539,2.6,2.84
540,3.75,2.79
541,3.14,2.72
542,3.29,2.56
543,3.6,2.2
544,2.25,2.09
