ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
1376,3.05,2.45
1377,1.63,2.39
1378,3.11,2.24
1379,2.38,1.98
1380,2.54,1.73
1381,2.38,1.6
1382,2.88,1.5
1383,2.88,1.39
1384,2.16,0.4
1385,3.4,2.65
1386,3.88,3.86
1387,3.57,3.5
1388,2.42,3.5
1389,3.15,2.92
1390,3.41,2.73
1391,3.57,2.64
1392,3.5,2.56
1393,2.71,2.07
1394,2.93,1.84
1395,2.64,2.67
1396,2.37,2.15
1397,2.3,1.93
1398,2.13,1.89
1399,1.63,1.55
1400,3.95,3.72
1401,3.82,3.41
1402,3.96,2.98
1403,3.94,2.31
1404,3.07,2.06
1405,3.5,3.2
1406,3.08,3.09
1407,3.65,2.89
1408,1.93,2.78
1409,2.47,2.64
1410,3.02,2.27
1411,2.89,2.17
1412,2.56,2.06
1413,2.6,1.74
1414,3.82,3.59
1415,3.28,3.53
1416,4,3.25
1417,4,3.23
1418,3.95,3.14
1419,3.54,2.75
1420,2.9,2.75
1421,3.12,2.67
1422,2.82,2.65
1423,3.14,2.63
1424,2.32,2.5
1425,2.32,2.47
1426,2.02,2.36
1427,3.14,2.28
1428,2.07,2.17
1429,3.2,1.87
1430,2.06,2.62
1431,2.81,2.31
1432,4,3.53
1433,3.92,3.09
1434,3.72,2.87
1435,3.82,2.57
1436,3.54,2.36
1437,4,2.3
1438,3.5,1.71
1439,2.25,1.55
1440,2.25,1.17
1441,3.5,0.83
1442,3.63,3.08
1443,3.95,2.93
1444,3.75,2.89
1445,3.78,2.18
1446,2.4,2
1447,2.4,1.83
1448,2.84,0.36
1449,3.5,0.27
1450,3.73,3.62
1451,3.8,3.2
1452,2.94,2.84
1453,3.6,2.62
1454,3.75,2.56
1455,3.65,2.53
1456,3.05,2.45
1457,3.54,2.31
1458,3.68,2.14
1459,2.59,2.14
1460,2.48,1.47
1461,2.42,1.29
1462,3.86,3.62
1463,4,3.45
1464,3.86,3.39
1465,3.02,3.22
1466,4,3.21
1467,3.96,3.06
1468,3.8,2.93
1469,4,2.92
1470,3.75,2.84
1471,3.7,2.83
1472,3.95,2.77
1473,3.66,2.7
1474,2.37,2.6
1475,2.46,2.59
1476,3.53,2.53
1477,2.93,2.53
1478,2.4,2.38
1479,3.8,2.3
1480,3.29,2.3
1481,2.33,2.29
1482,3.27,2.25
1483,2.86,2.2
1484,3.04,2.18
1485,2.16,2.06
1486,3.36,1.98
1487,2.6,1.98
1488,2.08,1.86
1489,2.16,1.71
1490,3.26,1.7
1491,2.4,1.59
1492,2.11,1.56
1493,2.6,1.53
1494,2.37,1.53
1495,3.26,1.5
1496,2.86,1.45
1497,2.16,1.15
1498,3.68,2.88
1499,3.75,2.45
1500,3.5,2.37
1501,3.65,2.28
1502,3.62,3.84
1503,4,3.39
1504,3,3.12
1505,2.66,2.94
1506,2,2.83
1507,3.61,2.65
1508,3.61,2.58
1509,3.75,2.53
1510,1.94,2.34
1511,2.27,2.31
1512,1.75,2.17
1513,2.44,2.08
1514,1.75,2.05
1515,3.61,2
1516,1.75,2
1517,3.74,2.53
1518,2.48,2
1519,2.48,1.45
1520,2.48,1.25
1521,3.77,2.42
1522,3.25,2.29
1523,3.66,2.05
1524,3.25,1.92
1525,3.96,3.72
1526,3.91,3.63
1527,3.64,3.39
1528,3.62,3.39
1529,3.42,3.21
1530,3.14,2.79
1531,3.66,2.75
1532,3.14,2.68
1533,3.81,1.89
1534,2.78,1.86
1535,3.38,3.92
1536,3.3,3.5
1537,3.06,3.45
1538,3.13,3.34
1539,3.53,3.28
1540,2.39,3.28
1541,3.64,3.09
1542,3.52,3.08
1543,2.8,3.08
1544,3.03,3.06
1545,3.25,3.03
1546,3.1,2.93
1547,3.5,2.89
1548,2.46,2.89
1549,3.42,2.87
1550,2.6,2.77
1551,2.4,2.73
1552,2.63,2.7
1553,2.23,2.7
1554,2.83,2.67
1555,2.03,2.65
1556,2,2.63
1557,3.03,2.58
1558,3.38,2.55
1559,2.29,2.48
1560,1.56,2.37
1561,2.36,2.31
1562,1.96,2.22
1563,2.56,2.18
1564,2.16,2.15
1565,1.76,2.13
1566,1.86,2.11
1567,2.1,2.09
1568,2.1,2.08
1569,1.93,2.03
1570,1.93,2.03
1571,1.75,2.03
1572,3.18,2
1573,2.36,2
1574,2.19,2
1575,1.7,1.95
1576,2.19,1.88
1577,2.16,1.88
1578,2,1.81
1579,2.23,1.77
1580,2.16,1.77
1581,2.36,1.5
1582,1.76,1.39
1583,2.19,1.2
1584,2.16,0.83
1585,3.67,3.64
1586,3.15,3.09
1587,3.47,2.79
1588,3.52,2.62
1589,2.05,0.17
1590,4,3.92
1591,3.75,3.65
1592,3.65,3.65
1593,3.77,3.45
1594,3,3.06
1595,3.68,3.03
1596,2.61,2.95
1597,2.5,2.81
1598,2.44,2.78
1599,3.16,2.7
1600,3.52,2.68
1601,1.83,2.62
1602,2.5,2.6
1603,3.35,2.56
1604,3.25,2.42
1605,2,2.4
1606,2.61,2.39
1607,1.83,2.33
1608,3.63,2.3
1609,2.66,1.89
1610,1.55,1.89
1611,2.61,1.84
1612,2.32,1.77
1613,1.16,1.72
1614,1.68,1.68
1615,1.16,1.67
1616,1.66,1.59
1617,1.16,1.53
1618,1.55,1.5
1619,1.68,1.37
1620,1.65,1.31
1621,1.91,3.4
1622,2.43,2.03
1623,2.33,1.84
1624,1.16,1.48
1625,2.07,1.14
1626,2.09,0.42
1627,3.18,3.87
1628,3.96,3.59
1629,3.92,3.56
1630,2.86,3.39
1631,3.61,3.31
1632,3.2,3.19
1633,3.38,3.1
1634,3.3,3.09
1635,3.8,3.08
1636,3.83,2.98
1637,3.26,2.95
1638,3.18,2.92
1639,2.9,2.92
1640,3.22,2.89
1641,3.38,2.87
1642,3.71,2.86
1643,3.38,2.83
1644,2.25,2.8
1645,2.57,2.78
1646,3,2.73
1647,2.93,2.73
1648,2.52,2.67
1649,3.34,2.65
1650,3.56,2.59
1651,2.7,2.59
1652,2.57,2.58
1653,3.5,2.55
1654,3.54,2.53
1655,3.53,2.53
1656,4,2.5
1657,2.08,2.48
1658,3.37,2.42
1659,3.06,2.39
1660,3.11,2.33
1661,3.06,2.3
1662,3.37,2.28
1663,2.26,2.28
1664,3.11,2.27
1665,2.34,2.25
1666,3.02,2.23
1667,2.06,2.22
1668,3.28,2.17
1669,3.26,2.17
1670,2.7,2.17
1671,2.42,2.16
1672,3.46,2.13
1673,2.98,2.12
1674,2.22,2.1
1675,2.5,1.97
1676,3.37,1.95
1677,3.03,1.81
1678,2.52,1.81
1679,3.52,1.8
1680,2.14,1.78
1681,3.5,1.64
1682,2.16,1.64
1683,2.05,1.63
1684,1.68,1.63
1685,2.42,1.5
1686,1.68,1.25
1687,1.68,1.2
1688,1.65,1.15
1689,2.34,0.84
1690,3.95,0.17
1691,3.06,1.88
1692,1.76,1.5
1693,1.76,1.24
1694,1.76,1.09
1695,3.37,3.39
1696,2.8,3.03
1697,2.84,1.77
1698,2.92,2.64
1699,3.72,2.45
1700,3.4,2.34
1701,3.42,2.25
1702,2.8,2.08
1703,2.8,2
1704,2.68,1.56
1705,2.8,1.15
1706,3.88,4
1707,3.75,4
1708,3.51,3.7
1709,3.31,3.7
1710,3.19,3.53
1711,3.53,3.5
1712,2.68,3.39
1713,2.73,3.38
1714,4,4
1715,3.22,3.31
1716,3.17,3.27
1717,3.47,3.15
1718,3.8,3.03
1719,3.43,3.03
1720,2.75,3
1721,2.72,3
1722,1.22,2.95
1723,3.37,2.92
1724,2.08,2.89
1725,3.17,2.86
1726,1.62,2.86
1727,2.89,2.78
1728,2.78,2.75
1729,2,2.75
1730,2.1,2.74
1731,1.67,2.74
1732,2.37,2.73
1733,0.96,2.73
1734,3.06,2.7
1735,2.76,2.7
1736,2.66,2.68
1737,3.34,2.62
1738,3.04,2.59
1739,2.79,2.59
1740,3.28,2.53
1741,2.61,2.53
1742,2.42,2.5
1743,1.8,2.48
1744,2.76,2.47
1745,3.37,2.42
1746,2.4,2.42
1747,1.73,2.42
1748,1.96,2.39
1749,2.09,2.34
1750,2.44,2.33
1751,3,2.31
1752,2.86,2.31
1753,2.32,2.27
1754,2,2.25
1755,2.38,2.24
1756,2.24,2.23
1757,3.07,2.2
1758,1.9,2.18
1759,1.9,2.15
1760,1.8,2.12
1761,2.16,2.11
1762,3,2.1
1763,2.04,2.1
1764,2.5,2.09
1765,2.17,2.03
1766,1.8,2.03
1767,1.96,2
1768,1.61,2
1769,2.62,1.98
1770,2.58,1.98
1771,2.12,1.98
1772,2.06,1.97
1773,2.54,1.95
1774,2.16,1.94
1775,2,1.92
1776,2.51,1.88
1777,2.18,1.88
1778,3,1.87
1779,2,1.86
1780,1.96,1.86
1781,2.3,1.84
1782,2.6,1.79
1783,1.61,1.78
1784,2.51,1.75
1785,2.12,1.75
1786,2.71,1.7
1787,2.67,1.68
1788,2.17,1.68
1789,1.73,1.68
1790,2.38,1.65
1791,0.96,1.65
1792,3.18,1.64
1793,2.37,1.64
1794,2.04,1.64
1795,1.55,1.64
1796,2.76,1.55
1797,3.01,1.5
1798,1.55,1.47
1799,1.5,1.45
1800,2.14,1.43
1801,1.91,1.35
1802,1.44,1.34
1803,1.44,1.31
1804,2.37,1.3
1805,1.93,1.28
1806,1.53,1.22
1807,1.6,1.2
1808,1.68,1.07
1809,2.51,1
1810,1.6,0.98
1811,2.75,0.95
1812,1.9,0.84
1813,2.14,0.78
1814,3.01,0.71
1815,2.62,0.58
1816,3.25,0.56
1817,2.18,0.5
1818,1.91,0.17
1819,1.68,0.15
1820,3.15,2.14
1821,4,3.24
1822,3.68,2
1823,3.39,1.98
1824,3.08,1.8
1825,3.68,1.15
1826,3.41,1.03
1827,3.4,2.87
1828,3,2.5
1829,3,2.03
1830,3,1.75
1831,4,3.6
1832,3.5,3.31
1833,3,3.18
1834,2,3
1835,4,2.92
1836,3.5,2.84
1837,2.75,2.74
1838,2.5,2.62
1839,2.75,2.59
1840,4,2.5
1841,3,2.45
1842,3.25,2.42
1843,3.5,2.39
1844,3,2.39
1845,3,2.39
1846,4,2.38
1847,3,2.38
1848,2.25,2.37
1849,1.5,2.35
1850,2.25,2.34
1851,4,2.28
1852,2,2.24
1853,2,2.17
1854,2,2.17
1855,2.5,2.09
1856,2.25,2.06
1857,2.66,2.03
1858,2,2
1859,1,2
1860,2.75,1.95
1861,2.25,1.95
1862,1,1.94
1863,1.5,1.9
1864,1.5,1.89
1865,2.5,1.88
1866,3.5,1.83
1867,2,1.83
1868,4,1.8
1869,2.5,1.8
1870,4,1.79
1871,3.5,1.77
1872,4,1.74
1873,2.5,1.73
1874,1.3,1.7
1875,2,1.67
1876,4,1.65
1877,1,1.64
1878,3.5,1.56
1879,2.5,1.56
1880,4,1.55
1881,3.5,1.5
1882,2.66,1.5
1883,2.25,1.5
1884,2.25,1.5
1885,2.5,1.48
1886,2.5,1.45
1887,2,1.39
1888,2.75,1.38
1889,1.5,1.37
1890,2,1.36
1891,2.66,1.3
1892,2.5,1.29
1893,2,1.25
1894,3,1.24
1895,4,1.21
1896,3.75,1.21
1897,3.5,1.12
1898,1,1.12
1899,3,1.09
1900,2.5,1.06
1901,1.5,1
1902,2.5,0.89
1903,4,0.86
1904,3.5,0.86
1905,2.5,0.65
1906,2.66,0.5
1907,3.5,0.43
1908,3.75,0.3
1909,1,0.2
1910,3,0.19
1911,4,0.18
1912,3.5,0.89
1913,2.06,2.15
1914,1.33,2.14
1915,1.33,2
1916,2.06,1.85
1917,1.48,1.5
1918,2.57,0.75
1919,1.48,0.59
1920,3.54,4
1921,4,3.74
1922,3.75,2.89
1923,3.7,2.86
1924,3.54,2.85
1925,3.33,2.78
1926,2.97,2.77
1927,3.76,2.65
1928,3.31,2.65
1929,3.25,2.65
1930,2.56,2.53
1931,3.36,2.48
1932,3.1,2.43
1933,2.83,2.43
1934,3,2.31
1935,2.3,2.24
1936,3.18,2.1
1937,2.42,1.9
1938,2.74,1.88
1939,2.74,1.77
1940,2.74,1.75
1941,2.56,1.75
1942,2.42,1.73
1943,2.56,1.71
1944,2.96,1.7
1945,2.56,1.23
1946,2.1,1.14
1947,1.82,1.03
1948,2.1,0.68
1949,1.82,0.58
1950,3.18,3.34
1951,3.33,3
1952,3.48,2.69
1953,3.07,2.69
1954,2.16,2
1955,3.33,1.83
1956,2.16,0.93
1957,1.5,2
1958,1.72,1.92
1959,1.62,1.38
1960,1.62,1.35
1961,3.68,2.93
1962,4,3.78
1963,4,3.5
1964,4,3.17
1965,4,2.92
1966,3.63,2.8
1967,3.15,2.09
1968,3.56,3
1969,3.7,2.84
1970,3.36,2.55
1971,3.33,2.47
1972,3.17,2.28
1973,3.83,1.72
1974,1.86,1.47
1975,1.96,1.31
1976,1.86,0.23
1977,3.9,3.45
1978,3.17,2.28
1979,2.6,2.15
1980,3.17,2.09
1981,3.7,1.95
1982,2.26,1.74
1983,2.26,0.71
1984,4,3.91
1985,3.6,3.15
1986,3.76,2.86
1987,3.32,2.24
1988,3.57,2.23
1989,3.5,2.23
1990,2.79,0.95
1991,2.86,1.67
1992,3.9,3.5
1993,4,3.1
1994,3.87,2.91
1995,3.01,2.09
1996,4,3.92
1997,2.94,3.53
1998,3.61,3.48
1999,2.62,2.56
2000,3.56,1.77
2001,3.56,1.65
2002,3.31,1.14
2003,3.76,3.64
2004,1.72,3.22
2005,2.6,3.08
2006,2.63,2.79
2007,3.34,2.56
2008,2.83,2.55
2009,3.88,2.39
2010,2.9,2.34
2011,2.48,2.34
2012,2.1,2.15
2013,1.96,2
2014,2.9,1.94
2015,2.26,1.8
2016,2.1,1.79
2017,2.9,1.75
2018,2.28,1.75
2019,2.26,1.71
2020,1.96,1.67
2021,3.3,1.62
2022,2.37,1.47
2023,1.66,1.45
2024,2.15,1.29
2025,3.13,2.29
2026,3.7,2.16
2027,3.13,1.39
2028,3.04,3.21
2029,3.27,2.62
2030,3.04,2.37
2031,1.81,2
2032,1.77,1.74
2033,2.16,1.7
2034,1.81,1.59
2035,2.7,1.43
2036,2.16,1.4
2037,2.66,1.2
2038,2.31,1.17
2039,3.5,0.92
2040,1.81,0.67
2041,1.81,0.59
2042,3.95,3.05
2043,4,3.12
2044,3.68,3.12
2045,2.54,2.42
2046,3.58,2.17
2047,3.06,1.67
2048,3.44,1.53
2049,3.44,1.34
2050,2.98,1.27
2051,3.44,0.73
